time	posX	posY	posZ	velX	velY	velZ	accX	accY	accZ	q0	q1	q2	q3	q_vel0	q_vel1	q_vel2	q_vel3	q_acc0	q_acc1	acc1X	acc1Y	acc1Z	acc1X	acc1Y	acc1Z	gyro1X	gyro1Y	gyro1Z
0.25	0.15625	0	0	1.125	-0	-0	3	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	3.01949	-0.12529	-9.97308	2.88167	-0.162877	-10.0107	-0.024	0.018	0.006
0.26	0.167648	0	0	1.1544	-0	-0	2.88	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	3.13225	-0.075174	-10.0107	2.93179	-0.100232	-9.79768	0.006	-0.012	-0.012
0.27	0.179334	0	0	1.1826	-0	-0	2.76	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.69374	0	-10.0858	2.81902	-0.263109	-9.94803	-0.018	0	0.012
0.28	0.191296	0	0	1.2096	-0	-0	2.64	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.55592	-0.075174	-10.0858	2.45568	-0.012529	-9.96055	0	0.006	-0.006
0.29	0.203522	0	0	1.2354	-0	-0	2.52	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.49327	0.075174	-9.91044	2.29281	-0.075174	-10.0107	0.012	0.018	0
0.3	0.216	0	0	1.26	-0	-0	2.4	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.30534	-0.087703	-10.0858	2.30534	-0.100232	-10.0483	-0.006	0.006	-0.006
0.31	0.228718	0	0	1.2834	-0	-0	2.28	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.23016	-0.075174	-9.97308	2.34292	0.012529	-9.98561	0.012	0.012	-0.018
0.32	0.241664	0	0	1.3056	-0	-0	2.16	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.26775	0	-9.70998	2.14246	0.025058	-10.0232	0.012	-0.006	-0.006
0.33	0.254826	0	0	1.3266	-0	-0	2.04	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	2.16752	0.012529	-9.82274	1.96705	-0.025058	-9.89791	0.012	0.012	0
0.34	0.268192	0	0	1.3464	-0	-0	1.92	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.89188	-0.137819	-9.97308	1.84176	0.037587	-10.0232	0	0	-0.012
0.35	0.28175	0	0	1.365	-0	-0	1.8	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.84176	-0.263109	-9.88538	1.729	-0.137819	-10.0357	-0.006	0.006	-0.006
0.36	0.295488	0	0	1.3824	-0	-0	1.68	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.942	-0.175406	-9.87285	1.41578	0.012529	-10.0483	0	0	-0.006
0.37	0.309394	0	0	1.3986	-0	-0	1.56	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.57865	-0.062645	-10.0984	1.65383	-0.012529	-10.0107	0.018	-0.012	-0.012
0.38	0.323456	0	0	1.4136	-0	-0	1.44	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.32807	-0.012529	-9.89791	1.54107	-0.150348	-9.76009	-0.006	0	-0.012
0.39	0.337662	0	0	1.4274	-0	-0	1.32	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.32807	-0.037587	-9.82274	1.40325	-0.162877	-10.0483	-0.006	0.024	0
0.4	0.352	0	0	1.44	-0	-0	1.2	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.01485	0.012529	-9.97308	1.22784	-0.025058	-9.96055	-0.012	0.006	-0.012
0.41	0.366458	0	0	1.4514	-0	-0	1.08	-0	-0	1	0	0	0	0	0	0	0	0	0	0	0	1.10255	-0.012529	-9.98561	1.02738	-0.062645	-9.82274	0.018	-0.006	-0.018
